fid,Id,codig,POINT_X,POINT_Y,UCS_F,pH,N,MO,K,Ca,Mg,CIC,P,Fe,Mn,Zn,Cu,S,B,Ar,L,A,Clasif,Al,asnm,C,Cobertura,Tipo_Cober,dem1,dem_aspect1,dem_aspect_slope1
88,0,88,882461.301101,1087101.56594,GAef1,5.1,0.7,21.4,0.27,0.27,0.18,34,4,159,35,5,2.5,11,0.04,21,24,55,FrancoArcillosoArenoso,1.1,1887.74523926,9.5,Eucalipto,Silvopastoril,1887.34289550781,23.3185501098633,14.1089496612549
89,0,89,882521.301101,1087101.56594,GAef1,5.2,0.65,19,0.17,0.23,0.13,26,6,113,21,4.5,1.6,10.4,0.08,21,16,63,FrancoArcillosoArenoso,1.3,1872.22631836,8.8,Eucalipto,Silvopastoril,1875.1259765625,351.962219238281,17.5490798950195
90,0,90,882581.301101,1087101.56594,GAef1,5.2,0.56,15.3,0.31,0.63,0.16,26,7,174,23,5.2,1.5,15.8,0.23,21,14,65,FrancoArcillosoArenoso,1,1863.01147461,7.7,Eucalipto,Silvopastoril,1863.06591796875,61.7790145874023,17.10231590271
91,0,91,882641.301101,1087101.56594,GAef1,5.2,0.55,14.8,0.22,0.45,0.14,30,3,159,22,4.4,1.3,9.4,0.41,21,18,61,FrancoArcillosoArenoso,1,1844.02514648,7.6,rastrojo,Bosque,1845.11340332031,28.4906578063965,30.1370964050293
92,0,92,882701.301101,1087101.56594,GAef1,5.2,0.63,18.1,0.39,0.9,0.18,42,11,117,30,6.6,1.8,18.3,0,20,16,63,FrancoArenoso,1,1825.89428711,8.5,rastrojo,Bosque,1826.25024414062,26.5624771118164,26.0199851989746
93,0,93,882611.301101,1087131.56594,GAef1,5.1,0.45,11.4,0.33,1.19,0.23,34,6,165,36,5.2,1.6,17.4,0.26,24,17,59,FrancoArcillosoArenoso,0.9,1842.28735352,6.6,rastrojo,Bosque,1843.82739257812,65.5365142822266,10.7824831008911
94,0,94,882461.301101,1087161.56594,GAef1,5,0.72,22.3,0.34,0.11,0.28,35,7,207,20,8,1.9,13.8,0.31,22,15,63,FrancoArcillosoArenoso,1.8,1864.16516113,9.7,Eucalipto,Silvopastoril,1871.64123535156,307.515319824219,14.1210651397705
95,0,95,882521.301101,1087161.56594,GAef1,5.3,0.62,17.7,0.2,0.2,0.15,33,7,210,13,4.6,1.2,11.2,0.12,24,10,65,FrancoArcillosoArenoso,1.2,1861.38964844,8.4,Eucalipto,Silvopastoril,1863.89074707031,43.0734481811523,14.705150604248
96,0,96,882581.301101,1087161.56594,GAef1,5.3,0.76,25.1,0.26,0.45,0.18,33,7,186,6,5.1,0.8,14.9,0.35,16,8,75,FrancoArenoso,1.6,1846.73242188,10.5,Eucalipto,Silvopastoril,1851.15563964844,80.2508926391602,8.1566333770752
97,0,97,882641.301101,1087161.56594,GAef1,5.1,0.59,16.6,0.3,1.05,0.16,31,8,135,40,7.7,2.1,11.5,0.22,22,14,63,FrancoArcillosoArenoso,1.1,1820.0135498,8.1,rastrojo,Bosque,1821.60888671875,59.5038299560547,13.9730205535889
98,0,98,882701.301101,1087161.56594,GAef1,5.1,0.51,13.3,0.3,1.21,0.14,29,4,148,41,4.7,1.1,9.9,0,20,20,59,FrancoArenoso,0.9,1803.01098633,7.2,rastrojo,Bosque,1810.54724121094,61.235969543457,34.7398223876953
99,0,99,882461.301101,1087221.56594,GAef1,5.3,0.68,20.5,0.5,0.66,0.26,35,6,156,22,19.5,19.1,17.6,0,20,12,67,FrancoArenoso,1.1,1863.85351563,9.2,Eucalipto,Silvopastoril,1866.49816894531,261.141784667969,4.03423833847046
100,0,100,882641.301101,1087221.56594,GAef1,5,0.31,7.3,0.22,0.96,0.12,19,3,168,26,4.2,1.1,20,0.47,20,28,51,FrancoArenoso,0.7,1799.34777832,5.4,Guadua_Nativo,Bosque,1828.45178222656,188.980529785156,18.6549491882324
101,0,101,882311.301101,1086531.56594,SIde,5.2,0.45,11.4,0.18,0.56,0.22,21,20,94,23,3.2,2.5,4.9,0.02,18,33,49,Franco,0.8,1979.2779541,6.6,Guadua_Plantada,Bosque,1956.54992675781,249.331344604492,39.0156555175781
102,0,102,882371.301101,1086531.56594,SEef1,5.3,0.38,9.2,0.14,0.32,0.16,22,11,111,26,2.2,2.1,3.9,0.05,16,37,47,Franco,0.5,1985.04577637,6,Guadua_Plantada,Bosque,1959.40942382812,196.524658203125,51.9041481018066
103,0,103,882491.301101,1086531.56594,SEef1,4.8,0.32,7.4,0.17,1.03,0.43,15,27,190,48,4.1,3,7.7,0.06,14,43,43,Franco,1.1,1989.04577637,5.5,Progenie,Silvopastoril,1948.552734375,160.995727539062,6.91634225845337
104,0,104,882371.301101,1086561.56594,SEef1,5.2,0.58,16.2,0.12,0.14,0.15,26,11,94,13,2.1,1.9,1.7,0.16,18,31,51,Franco,1.2,1987.56750488,8,Pino_Romeron,Silvopastoril,1966.47155761719,347.502380371094,25.6876850128174
105,0,105,882401.301101,1086591.56594,SEef1,4.8,0.55,15.1,0.21,0.25,0.29,25,15,218,23,4.6,2.6,3.8,0.06,22,27,51,FrancoArcillosoArenoso,1.5,1982.29016113,7.7,Pino_Romeron,Silvopastoril,1978.96923828125,169.364410400391,43.556770324707
